Field(mT)	GrayLevel	File
5,804436 	 2049,924561 	 image0000.png
5,617459 	 2050,248535 	 image0001.png
5,454079 	 2050,047852 	 image0002.png
5,256703 	 2050,571777 	 image0003.png
5,108684 	 2051,326416 	 image0004.png
4,912996 	 2050,940186 	 image0005.png
4,733463 	 2052,559082 	 image0006.png
4,577948 	 2052,602051 	 image0007.png
4,365738 	 2054,677490 	 image0008.png
4,207583 	 2054,125732 	 image0009.png
4,013234 	 2055,552246 	 image0010.png
3,801068 	 2054,950195 	 image0011.png
3,624794 	 2055,686035 	 image0012.png
3,412150 	 2055,455322 	 image0013.png
3,204385 	 2055,656982 	 image0014.png
3,034260 	 2056,841064 	 image0015.png
2,797548 	 2057,794434 	 image0016.png
2,629172 	 2057,271240 	 image0017.png
2,403965 	 2057,455566 	 image0018.png
2,230659 	 2057,592529 	 image0019.png
2,029573 	 2057,271729 	 image0020.png
1,805107 	 2056,756104 	 image0021.png
1,601424 	 2058,070801 	 image0022.png
1,420378 	 2057,726074 	 image0023.png
1,211181 	 2057,250000 	 image0024.png
1,005217 	 2057,235352 	 image0025.png
0,806729 	 2055,363037 	 image0026.png
0,635862 	 2055,271973 	 image0027.png
0,413252 	 2053,127197 	 image0028.png
0,201934 	 2053,150879 	 image0029.png
0,001326 	 2051,035645 	 image0030.png
-0,175479 	 2050,954346 	 image0031.png
-0,383987 	 2036,340942 	 image0032.png
-0,600712 	 2034,525146 	 image0033.png
-0,780698 	 2033,473755 	 image0034.png
-0,991433 	 2030,327271 	 image0035.png
-1,199835 	 2029,027588 	 image0036.png
-1,373512 	 2027,570435 	 image0037.png
-1,579846 	 2025,238037 	 image0038.png
-1,803092 	 2022,962524 	 image0039.png
-2,009161 	 2021,497559 	 image0040.png
-2,190207 	 2021,553101 	 image0041.png
-2,405925 	 2019,062012 	 image0042.png
-2,573665 	 2018,446899 	 image0043.png
-2,791450 	 2017,381470 	 image0044.png
-2,990044 	 2015,343384 	 image0045.png
-3,204437 	 2014,932007 	 image0046.png
-3,416338 	 2012,856567 	 image0047.png
-3,588796 	 2011,152222 	 image0048.png
-3,783467 	 2012,005127 	 image0049.png
-4,000298 	 2010,108521 	 image0050.png
-4,214427 	 2009,592896 	 image0051.png
-4,441392 	 2009,581055 	 image0052.png
-4,678860 	 2008,863281 	 image0053.png
-4,890813 	 2009,653076 	 image0054.png
-5,107810 	 2007,527954 	 image0055.png
-5,326645 	 2007,319580 	 image0056.png
-5,574913 	 2006,956909 	 image0057.png
-5,800098 	 2007,525269 	 image0058.png
-6,025223 	 2007,842407 	 image0059.png
-6,249637 	 2007,678711 	 image0060.png
-6,017213 	 2009,171143 	 image0061.png
-5,795232 	 2008,225952 	 image0062.png
-5,586840 	 2009,468018 	 image0063.png
-5,345515 	 2009,408447 	 image0064.png
-5,129705 	 2009,368042 	 image0065.png
-4,883693 	 2010,945923 	 image0066.png
-4,655659 	 2012,240967 	 image0067.png
-4,425431 	 2012,986694 	 image0068.png
-4,197575 	 2013,148315 	 image0069.png
-3,997276 	 2014,237061 	 image0070.png
-3,784262 	 2015,399902 	 image0071.png
-3,611327 	 2016,621338 	 image0072.png
-3,415596 	 2018,369751 	 image0073.png
-3,202263 	 2018,507080 	 image0074.png
-3,004464 	 2019,999023 	 image0075.png
-2,799297 	 2022,265625 	 image0076.png
-2,606958 	 2023,185913 	 image0077.png
-2,381114 	 2023,106567 	 image0078.png
-2,201659 	 2025,299072 	 image0079.png
-1,997180 	 2025,269653 	 image0080.png
-1,798798 	 2026,700317 	 image0081.png
-1,607043 	 2027,324829 	 image0082.png
-1,394824 	 2028,658081 	 image0083.png
-1,177038 	 2030,253662 	 image0084.png
-0,990160 	 2031,668823 	 image0085.png
-0,786053 	 2033,138550 	 image0086.png
-0,572084 	 2034,880737 	 image0087.png
-0,404769 	 2036,580933 	 image0088.png
-0,175267 	 2037,025513 	 image0089.png
0,016117 	 2037,911133 	 image0090.png
0,199125 	 2038,454712 	 image0091.png
0,398673 	 2049,893066 	 image0092.png
0,629129 	 2052,571533 	 image0093.png
0,828943 	 2052,833252 	 image0094.png
1,006331 	 2053,154053 	 image0095.png
1,207310 	 2051,446045 	 image0096.png
1,392068 	 2050,841797 	 image0097.png
1,606566 	 2051,157471 	 image0098.png
1,819315 	 2050,233887 	 image0099.png
2,022734 	 2050,433594 	 image0100.png
2,230606 	 2050,130371 	 image0101.png
2,404548 	 2050,521484 	 image0102.png
2,615865 	 2050,381592 	 image0103.png
2,794632 	 2049,200195 	 image0104.png
3,027103 	 2047,615967 	 image0105.png
3,240753 	 2049,097656 	 image0106.png
3,414695 	 2049,604980 	 image0107.png
3,613448 	 2049,281006 	 image0108.png
3,830545 	 2049,661865 	 image0109.png
4,030782 	 2049,831787 	 image0110.png
4,202252 	 2049,439453 	 image0111.png
4,393504 	 2049,489258 	 image0112.png
4,566176 	 2048,665283 	 image0113.png
4,725333 	 2049,521973 	 image0114.png
4,906556 	 2049,807373 	 image0115.png
5,073210 	 2048,942139 	 image0116.png
5,276023 	 2048,950439 	 image0117.png
5,465798 	 2050,059326 	 image0118.png
5,631396 	 2050,150635 	 image0119.png
5,810454 	 2050,610107 	 image0120.png
