Field(mT)	GrayLevel	
5,789972 	 2095,211182
5,616034 	 2095,642822
5,467593 	 2094,172607
5,291015 	 2095,422119
5,091369 	 2095,726074
4,916217 	 2095,656982
4,729345 	 2095,153320
4,571824 	 2094,786621
4,365896 	 2093,975586
4,216082 	 2093,058105
4,006979 	 2091,880615
3,813315 	 2091,489502
3,626861 	 2090,056885
3,417664 	 2090,846436
3,228135 	 2088,938232
3,023339 	 2085,773193
2,802372 	 2084,258545
2,635216 	 2081,004150
2,402851 	 2081,857178
2,224880 	 2079,893799
2,002376 	 2079,756592
1,841582 	 2078,788574
1,613087 	 2078,012939
1,408078 	 2078,318848
1,204819 	 2078,428955
1,008981 	 2079,124512
0,837743 	 2078,791504
0,608506 	 2080,199951
0,399044 	 2080,112549
0,231782 	 2079,202393
-0,005248 	 2080,159912
-0,180781 	 2081,408691
-0,401959 	 2081,183838
-0,600500 	 2081,820557
-0,798193 	 2080,856201
-0,984435 	 2082,265381
-1,196919 	 2080,233643
-1,369589 	 2077,951660
-1,600257 	 1968,849243
-1,786392 	 1967,745239
-1,990288 	 1965,319336
-2,213428 	 1965,104248
-2,384560 	 1963,750488
-2,601498 	 1963,358398
-2,774008 	 1964,682983
-3,008653 	 1966,222656
-3,212336 	 1968,402710
-3,387233 	 1971,783447
-3,587629 	 1974,510010
-3,807058 	 1977,851440
-4,006554 	 1981,218018
-4,208790 	 1983,478760
-4,444419 	 1984,677734
-4,689244 	 1986,199341
-4,872953 	 1989,183228
-5,107513 	 1990,931641
-5,341895 	 1992,409790
-5,578948 	 1993,220825
-5,794045 	 1994,213623
-6,017806 	 1994,840576
-6,253969 	 1995,744385
-5,997928 	 1994,906494
-5,815763 	 1995,174072
-5,570818 	 1994,893921
-5,353229 	 1993,390991
-5,100748 	 1991,665039
-4,906834 	 1989,981201
-4,655541 	 1990,003174
-4,468569 	 1987,656738
-4,207603 	 1984,650391
-3,997647 	 1981,544922
-3,813367 	 1979,256714
-3,611168 	 1974,823364
-3,403084 	 1971,105469
-3,187366 	 1969,491333
-2,977851 	 1966,636963
-2,783180 	 1964,119629
-2,601922 	 1963,405762
-2,378676 	 1962,371216
-2,209452 	 1962,586426
-1,985305 	 1963,201538
-1,796783 	 1964,812012
-1,577566 	 1967,617065
-1,401027 	 1971,559692
-1,174441 	 1973,886597
-1,001029 	 1977,607910
-0,806358 	 1982,090332
-0,596736 	 1987,418701
-0,374073 	 1992,931885
-0,191543 	 1999,408569
0,004401 	 2004,835815
0,227753 	 2011,462524
0,415797 	 2017,165283
0,633423 	 2025,067017
0,831646 	 2031,323853
1,035330 	 2038,646240
1,229047 	 2047,245972
1,397316 	 2073,212891
1,614890 	 2072,866211
1,807970 	 2073,931885
2,006988 	 2074,212891
2,217511 	 2074,429199
2,404548 	 2075,996094
2,601127 	 2078,388916
2,813187 	 2078,803223
3,009661 	 2080,685303
3,243033 	 2081,030029
3,413529 	 2082,202148
3,640751 	 2082,848145
3,807483 	 2084,277100
4,026435 	 2085,443359
4,194333 	 2086,882080
4,392607 	 2086,212891
4,563959 	 2088,140137
4,734413 	 2086,621582
4,905078 	 2086,666504
5,106466 	 2086,939941
5,253377 	 2087,610352
5,469282 	 2089,114502
5,618410 	 2088,812256
5,819798 	 2087,472656
