0deg,15deg,30deg,45deg,60deg,75deg,88deg,90deg,92deg,105deg,120deg,135deg,150deg,165deg,180deg,270deg
-6.225724,-6.244771,-6.235515,-6.249696,5.791345,5.789972,5.804595,5.785908,5.810349,5.8151,5.806706,5.804436,5.790764,5.807973,5.804489,5.784905
-6.0273,-6.040532,-6.023443,-6.033768,5.616932,5.616034,5.619254,5.61292,5.638522,5.60421,5.609752,5.617459,5.639736,5.632979,5.608327,5.635513
-5.779923,-5.788052,-5.796241,-5.801403,5.462472,5.467593,5.441621,5.449222,5.442835,5.46242,5.463898,5.454079,5.442096,5.440459,5.470179,5.44141
-5.595977,-5.58138,-5.566427,-5.554797,5.256175,5.291015,5.276393,5.284944,5.273067,5.247517,5.273912,5.256703,5.249946,5.265941,5.285895,5.267683
-5.325459,-5.354771,-5.353347,-5.352517,5.087568,5.091369,5.083503,5.083715,5.104777,5.083715,5.098601,5.108684,5.103194,5.109211,5.098918,5.102824
-5.124246,-5.132079,-5.093272,-5.092619,4.931472,4.916217,4.928833,4.90777,4.904445,4.902597,4.906767,4.912996,4.932634,4.926352,4.934851,4.935326
-4.887668,-4.898705,-4.881319,-4.882981,4.725914,4.729345,4.728659,4.721796,4.751939,4.740483,4.721849,4.733463,4.723644,4.740959,4.730454,4.721849
-4.680759,-4.654473,-4.672867,-4.67708,4.550603,4.571824,4.554773,4.545694,4.561214,4.575783,4.56702,4.577948,4.558891,4.551923,4.560844,4.545694
-4.445902,-4.462813,-4.461567,-4.452429,4.360987,4.365896,4.386695,4.38849,4.379674,4.375715,4.389017,4.365738,4.357978,4.357133,4.386325,4.375292
-4.232525,-4.235967,-4.224277,-4.227422,4.213654,4.216082,4.208956,4.189899,4.187629,4.205366,4.21207,4.207583,4.222786,4.204891,4.210698,4.220728
-4.013286,-3.985613,-3.996799,-3.980311,4.009046,4.006979,4.010849,4.013711,4.03004,4.013605,4.009311,4.013234,4.017741,4.034281,4.011167,4.026064
-3.795713,-3.780392,-3.816813,-3.812943,3.836535,3.813315,3.828212,3.819093,3.810611,3.804832,3.812202,3.801068,3.832612,3.827841,3.831976,3.814693
-3.587735,-3.608305,-3.584872,-3.597331,3.632799,3.626861,3.63476,3.616788,3.622249,3.611169,3.609366,3.624794,3.608518,3.609737,3.635131,3.605496
-3.402501,-3.395344,-3.389724,-3.40266,3.417134,3.417664,3.440089,3.431183,3.417929,3.426942,3.428956,3.41215,3.412044,3.419944,3.430706,3.416869
-3.182012,-3.190123,-3.180103,-3.195689,3.243192,3.228135,3.21011,3.211913,3.217532,3.207089,3.221297,3.204385,3.211065,3.210747,3.214139,3.242025
-2.998633,-3.01019,-2.981085,-2.999428,3.036327,3.023339,3.036539,3.036804,3.044969,3.024558,3.040834,3.03426,3.035797,3.04359,3.00754,3.032616
-2.779522,-2.797494,-2.810006,-2.807249,2.794738,2.802372,2.794579,2.810218,2.817216,2.822094,2.828296,2.797548,2.797336,2.822783,2.801471,2.823207
-2.578383,-2.604891,-2.576422,-2.583844,2.605846,2.635216,2.617297,2.61067,2.609769,2.617721,2.627317,2.629172,2.604414,2.607065,2.629808,2.605634
-2.393467,-2.399246,-2.402585,-2.409106,2.422785,2.402851,2.429094,2.408365,2.425383,2.401791,2.416582,2.403965,2.418809,2.405025,2.428086,2.409902
-2.184323,-2.190579,-2.204097,-2.186708,2.220056,2.22488,2.230977,2.23034,2.230606,2.219897,2.204204,2.230659,2.223714,2.209028,2.20537,2.207968
-1.99384,-2.010593,-1.991242,-1.99278,2.023423,2.002376,2.001899,2.010911,2.011336,2.000945,2.038214,2.029573,2.007837,2.028778,2.029838,2.030209
-1.804842,-1.788354,-1.7918,-1.795511,1.842271,1.841582,1.821807,1.814809,1.840998,1.835114,1.813537,1.805107,1.814014,1.83962,1.829759,1.830926
-1.594637,-1.566062,-1.595379,-1.576665,1.594585,1.613087,1.606619,1.613458,1.614625,1.608952,1.599568,1.601424,1.625705,1.601795,1.625174,1.617805
-1.398429,-1.403518,-1.38544,-1.385175,1.407654,1.408078,1.414705,1.431352,1.401398,1.414228,1.425202,1.420378,1.41391,1.430344,1.408396,1.39668
-1.179848,-1.194374,-1.185998,-1.187217,1.220299,1.204819,1.227721,1.19851,1.227562,1.219451,1.222367,1.211181,1.196283,1.205561,1.205137,1.20344
-0.987457,-0.988729,-1.009458,-0.993818,1.035065,1.008981,1.007444,1.027431,1.007603,0.99981,1.017729,1.005217,1.011049,1.002036,1.035012,1.037556
-0.811659,-0.803919,-0.788757,-0.810016,0.815583,0.837743,0.812296,0.822846,0.80111,0.815371,0.822157,0.806729,0.837319,0.808691,0.801428,0.829102
