Field(mT)	GrayLevel	File
5,790764 	 2071,086914 	 image0000.png
5,639736 	 2071,880371 	 image0001.png
5,442096 	 2071,254883 	 image0002.png
5,249946 	 2070,036621 	 image0003.png
5,103194 	 2069,824707 	 image0004.png
4,932634 	 2070,042725 	 image0005.png
4,723644 	 2068,959717 	 image0006.png
4,558891 	 2068,354492 	 image0007.png
4,357978 	 2068,464355 	 image0008.png
4,222786 	 2068,156982 	 image0009.png
4,017741 	 2068,979004 	 image0010.png
3,832612 	 2070,156250 	 image0011.png
3,608518 	 2069,163330 	 image0012.png
3,412044 	 2069,200195 	 image0013.png
3,211065 	 2069,187744 	 image0014.png
3,035797 	 2068,791748 	 image0015.png
2,797336 	 2069,068604 	 image0016.png
2,604414 	 2068,411865 	 image0017.png
2,418809 	 2069,479492 	 image0018.png
2,223714 	 2070,039551 	 image0019.png
2,007837 	 2069,659912 	 image0020.png
1,814014 	 2070,245361 	 image0021.png
1,625705 	 2069,630371 	 image0022.png
1,413910 	 2069,473877 	 image0023.png
1,196283 	 2069,069580 	 image0024.png
1,011049 	 2069,377441 	 image0025.png
0,837319 	 2069,049316 	 image0026.png
0,626743 	 2069,603271 	 image0027.png
0,407738 	 2069,113525 	 image0028.png
0,201669 	 2072,601074 	 image0029.png
-0,007740 	 2070,211182 	 image0030.png
-0,176646 	 2070,253662 	 image0031.png
-0,371635 	 2033,086182 	 image0032.png
-0,581839 	 2032,084473 	 image0033.png
-0,805827 	 2031,661621 	 image0034.png
-1,000498 	 2029,109497 	 image0035.png
-1,199039 	 2029,386719 	 image0036.png
-1,377912 	 2029,015625 	 image0037.png
-1,584617 	 2029,193359 	 image0038.png
-1,771654 	 2027,994263 	 image0039.png
-1,991878 	 2026,572876 	 image0040.png
-2,215708 	 2026,647461 	 image0041.png
-2,381432 	 2025,357666 	 image0042.png
-2,587608 	 2024,879395 	 image0043.png
-2,787262 	 2026,127197 	 image0044.png
-2,980449 	 2026,376953 	 image0045.png
-3,219175 	 2025,692505 	 image0046.png
-3,398472 	 2026,161377 	 image0047.png
-3,614879 	 2025,570190 	 image0048.png
-3,819835 	 2025,717285 	 image0049.png
-3,983916 	 2025,755127 	 image0050.png
-4,232525 	 2025,903320 	 image0051.png
-4,459846 	 2025,692505 	 image0052.png
-4,698501 	 2025,410034 	 image0053.png
-4,912234 	 2026,609619 	 image0054.png
-5,126916 	 2026,048462 	 image0055.png
-5,317864 	 2025,617798 	 image0056.png
-5,565775 	 2025,279907 	 image0057.png
-5,780754 	 2024,811035 	 image0058.png
-6,028724 	 2026,301392 	 image0059.png
-6,227089 	 2026,344360 	 image0060.png
-6,012229 	 2026,381714 	 image0061.png
-5,815347 	 2026,877563 	 image0062.png
-5,564469 	 2027,126831 	 image0063.png
-5,348719 	 2026,505981 	 image0064.png
-5,126679 	 2027,548096 	 image0065.png
-4,895679 	 2027,621704 	 image0066.png
-4,680047 	 2027,421631 	 image0067.png
-4,430534 	 2028,145142 	 image0068.png
-4,217513 	 2026,586914 	 image0069.png
-3,990119 	 2028,030029 	 image0070.png
-3,790146 	 2028,431152 	 image0071.png
-3,607086 	 2027,896851 	 image0072.png
-3,407537 	 2028,189087 	 image0073.png
-3,203059 	 2027,607178 	 image0074.png
-2,995452 	 2027,679199 	 image0075.png
-2,787527 	 2028,128540 	 image0076.png
-2,611464 	 2029,292969 	 image0077.png
-2,382493 	 2029,742187 	 image0078.png
-2,207755 	 2029,534912 	 image0079.png
-2,007253 	 2030,661011 	 image0080.png
-1,798904 	 2030,381714 	 image0081.png
-1,571311 	 2032,406738 	 image0082.png
-1,374943 	 2032,140381 	 image0083.png
-1,205666 	 2032,415039 	 image0084.png
-0,984223 	 2033,204834 	 image0085.png
-0,799466 	 2033,301758 	 image0086.png
-0,562648 	 2034,932983 	 image0087.png
-0,373172 	 2034,920532 	 image0088.png
-0,184598 	 2036,458130 	 image0089.png
0,016117 	 2037,259766 	 image0090.png
0,229343 	 2038,625244 	 image0091.png
0,409647 	 2070,442871 	 image0092.png
0,603841 	 2069,966553 	 image0093.png
0,830745 	 2069,630371 	 image0094.png
1,015078 	 2068,419678 	 image0095.png
1,194428 	 2067,795898 	 image0096.png
1,425255 	 2065,395996 	 image0097.png
1,618336 	 2065,210449 	 image0098.png
1,832940 	 2064,722900 	 image0099.png
2,004497 	 2064,358154 	 image0100.png
2,227054 	 2064,052979 	 image0101.png
2,395323 	 2063,136230 	 image0102.png
2,626044 	 2062,096680 	 image0103.png
2,829145 	 2062,393555 	 image0104.png
3,008759 	 2062,050049 	 image0105.png
3,234285 	 2060,385010 	 image0106.png
3,426146 	 2061,044189 	 image0107.png
3,617424 	 2060,850830 	 image0108.png
3,828106 	 2061,489258 	 image0109.png
4,004222 	 2062,760010 	 image0110.png
4,215501 	 2060,209473 	 image0111.png
4,387803 	 2060,193359 	 image0112.png
4,573091 	 2059,789551 	 image0113.png
4,725439 	 2060,508301 	 image0114.png
4,925455 	 2060,694824 	 image0115.png
5,098284 	 2059,362061 	 image0116.png
5,248573 	 2060,286621 	 image0117.png
5,471077 	 2059,437744 	 image0118.png
5,613078 	 2058,794678 	 image0119.png
5,818109 	 2058,445801 	 image0120.png
