Field(mT)	GrayLevel	File
5,786172 	 2092,219238 	 image0000.png
5,612656 	 2094,163574 	 image0001.png
5,459727 	 2094,301514 	 image0002.png
5,279771 	 2094,931152 	 image0003.png
5,109475 	 2095,378906 	 image0004.png
4,911202 	 2095,588379 	 image0005.png
4,744337 	 2096,753174 	 image0006.png
4,579584 	 2097,530273 	 image0007.png
4,365685 	 2097,186768 	 image0008.png
4,182931 	 2097,449707 	 image0009.png
4,033963 	 2098,247559 	 image0010.png
3,812414 	 2098,544922 	 image0011.png
3,633541 	 2099,037354 	 image0012.png
3,443747 	 2098,540527 	 image0013.png
3,232165 	 2099,438965 	 image0014.png
3,029064 	 2098,576172 	 image0015.png
2,830735 	 2098,330811 	 image0016.png
2,604361 	 2097,783691 	 image0017.png
2,428670 	 2095,676758 	 image0018.png
2,223873 	 2094,345459 	 image0019.png
2,030898 	 2091,852051 	 image0020.png
1,808076 	 2089,474121 	 image0021.png
1,628673 	 2085,995850 	 image0022.png
1,401716 	 2082,249756 	 image0023.png
1,231644 	 2079,050293 	 image0024.png
0,999704 	 2074,681396 	 image0025.png
0,830957 	 2070,214111 	 image0026.png
0,629871 	 2065,443359 	 image0027.png
0,421947 	 2060,435059 	 image0028.png
0,222822 	 2054,103271 	 image0029.png
0,020411 	 2048,197998 	 image0030.png
-0,192815 	 2042,274658 	 image0031.png
-0,380382 	 2037,266113 	 image0032.png
-0,593343 	 2031,028687 	 image0033.png
-0,783773 	 2024,116577 	 image0034.png
-0,996681 	 2051,786133 	 image0035.png
-1,201690 	 2049,012207 	 image0036.png
-1,388568 	 2046,858765 	 image0037.png
-1,572212 	 2045,455444 	 image0038.png
-1,795405 	 2042,997437 	 image0039.png
-2,006617 	 2040,381104 	 image0040.png
-2,184323 	 2037,760376 	 image0041.png
-2,402851 	 2035,249756 	 image0042.png
-2,586706 	 2032,533203 	 image0043.png
-2,784134 	 2029,587158 	 image0044.png
-3,000488 	 2027,356201 	 image0045.png
-3,214616 	 2024,936035 	 image0046.png
-3,409340 	 2022,901611 	 image0047.png
-3,593196 	 2020,991333 	 image0048.png
-3,818403 	 2020,005493 	 image0049.png
-3,983598 	 2018,887207 	 image0050.png
-4,199652 	 2017,504639 	 image0051.png
-4,453557 	 2016,091553 	 image0052.png
-4,684082 	 2013,932617 	 image0053.png
-4,913005 	 2012,989014 	 image0054.png
-5,136469 	 2012,333008 	 image0055.png
-5,329197 	 2011,679199 	 image0056.png
-5,595265 	 2011,670166 	 image0057.png
-5,777312 	 2011,798462 	 image0058.png
-6,012051 	 2010,594971 	 image0059.png
-6,225249 	 2010,558960 	 image0060.png
-6,024749 	 2011,040039 	 image0061.png
-5,801759 	 2011,824707 	 image0062.png
-5,590874 	 2012,528198 	 image0063.png
-5,319406 	 2013,251831 	 image0064.png
-5,122229 	 2014,601196 	 image0065.png
-4,881556 	 2017,036621 	 image0066.png
-4,650082 	 2018,145630 	 image0067.png
-4,443529 	 2019,268799 	 image0068.png
-4,201195 	 2019,857666 	 image0069.png
-3,994360 	 2021,874268 	 image0070.png
-3,807270 	 2023,356812 	 image0071.png
-3,607351 	 2025,391724 	 image0072.png
-3,415490 	 2027,744385 	 image0073.png
-3,205391 	 2029,945312 	 image0074.png
-3,006426 	 2032,834961 	 image0075.png
-2,800039 	 2034,979858 	 image0076.png
-2,605209 	 2037,480225 	 image0077.png
-2,378994 	 2039,614136 	 image0078.png
-2,211095 	 2041,043335 	 image0079.png
-1,989599 	 2043,094604 	 image0080.png
-1,799858 	 2045,287231 	 image0081.png
-1,579793 	 2047,771729 	 image0082.png
-1,393657 	 2049,836670 	 image0083.png
-1,197078 	 2051,905029 	 image0084.png
-0,986131 	 2053,286377 	 image0085.png
-0,785099 	 2054,687988 	 image0086.png
-0,602515 	 2055,612793 	 image0087.png
-0,378580 	 2056,902344 	 image0088.png
-0,194088 	 2057,375977 	 image0089.png
0,028363 	 2058,057373 	 image0090.png
0,193240 	 2059,331543 	 image0091.png
0,392152 	 2060,789062 	 image0092.png
0,630720 	 2062,046875 	 image0093.png
0,822952 	 2063,625977 	 image0094.png
1,021811 	 2078,421143 	 image0095.png
1,204448 	 2082,075439 	 image0096.png
1,410729 	 2086,326660 	 image0097.png
1,619608 	 2090,110352 	 image0098.png
1,810197 	 2094,165283 	 image0099.png
2,030050 	 2097,961914 	 image0100.png
2,204787 	 2101,011230 	 image0101.png
2,424375 	 2103,361084 	 image0102.png
2,602877 	 2105,072998 	 image0103.png
2,835506 	 2105,493652 	 image0104.png
3,042689 	 2107,012939 	 image0105.png
3,209103 	 2107,748047 	 image0106.png
3,435477 	 2107,408203 	 image0107.png
3,622779 	 2107,581055 	 image0108.png
3,837384 	 2107,733887 	 image0109.png
4,035554 	 2107,127686 	 image0110.png
4,193911 	 2106,752930 	 image0111.png
4,370700 	 2106,482666 	 image0112.png
4,578212 	 2106,308105 	 image0113.png
4,720213 	 2105,412842 	 image0114.png
4,903336 	 2104,478516 	 image0115.png
5,104408 	 2104,238525 	 image0116.png
5,269953 	 2103,167480 	 image0117.png
5,467593 	 2102,827637 	 image0118.png
5,638100 	 2102,578125 	 image0119.png
5,788917 	 2102,571533 	 image0120.png
