Field(mT)	GrayLevel	
-6,235515 	 2002,613647
-6,023443 	 2002,496338
-5,796241 	 2001,350830
-5,566427 	 2001,389526
-5,353347 	 2001,057983
-5,093272 	 2000,835205
-4,881319 	 1999,634521
-4,672867 	 1998,751465
-4,461567 	 1998,865601
-4,224277 	 1997,843140
-3,996799 	 1997,083984
-3,816813 	 1996,723877
-3,584872 	 1996,165039
-3,389724 	 1995,173096
-3,180103 	 1994,606689
-2,981085 	 1994,136963
-2,810006 	 1993,851440
-2,576422 	 1993,809204
-2,402585 	 1993,167603
-2,204097 	 1992,527588
-1,991242 	 1991,821167
-1,791800 	 1990,775879
-1,595379 	 1990,160767
-1,385440 	 1989,545410
-1,185998 	 1988,947510
-1,009458 	 1988,991577
-0,788757 	 1988,482178
-0,594563 	 1987,298950
-0,379375 	 1987,640015
-0,195731 	 1988,015869
0,024175 	 1987,072876
0,214446 	 1986,527466
0,429104 	 2074,867432
0,602303 	 2075,248291
0,825284 	 2076,627441
1,030665 	 2078,394775
1,205826 	 2079,613281
1,402936 	 2080,182861
1,620297 	 2081,087158
1,825571 	 2080,844727
2,015948 	 2080,761719
2,240519 	 2080,625977
2,425118 	 2081,349365
2,630126 	 2081,890381
2,802425 	 2081,931396
3,013637 	 2082,334229
3,213715 	 2083,901855
3,421534 	 2084,678955
3,620923 	 2083,896973
3,827046 	 2085,539551
4,008516 	 2084,761230
4,195706 	 2085,036621
4,379674 	 2085,399658
4,570240 	 2084,781982
4,738636 	 2085,151123
4,910568 	 2085,988037
5,094272 	 2085,734131
5,275759 	 2085,427979
5,469757 	 2086,576904
5,643273 	 2085,814209
5,781632 	 2086,360840
5,615084 	 2086,025391
5,444155 	 2086,005127
5,275179 	 2084,884766
5,093058 	 2083,935791
4,921337 	 2083,779785
4,739533 	 2083,512695
4,558944 	 2082,823730
4,378565 	 2082,099609
4,186679 	 2082,014893
4,034069 	 2080,978760
3,826728 	 2080,487793
3,602580 	 2079,506592
3,435106 	 2079,147949
3,234391 	 2078,703369
3,042265 	 2078,766602
2,829251 	 2077,696045
2,606482 	 2077,951660
2,425648 	 2077,396484
2,205742 	 2076,350586
2,040918 	 2075,970703
1,813643 	 2074,813232
1,624591 	 2073,536377
1,430026 	 2071,433594
1,204289 	 2070,771729
0,998484 	 2069,693359
0,808002 	 2069,406006
0,629712 	 2068,647217
0,408640 	 2067,844238
0,200821 	 2067,053223
0,017124 	 2065,657715
-0,202517 	 2064,414795
-0,380435 	 1977,605347
-0,571077 	 1976,901367
-0,811129 	 1976,827515
-0,987457 	 1977,254395
-1,202379 	 1977,396240
-1,397262 	 1979,495850
-1,578044 	 1979,434814
-1,780773 	 1980,142334
-1,981753 	 1981,212280
-2,200227 	 1981,887817
-2,405872 	 1982,251953
-2,610351 	 1982,495850
-2,778197 	 1983,462402
-2,999905 	 1984,464111
-3,208413 	 1985,065430
-3,380447 	 1986,049194
-3,606025 	 1987,089233
-3,787019 	 1987,486450
-4,011961 	 1988,054810
-4,220836 	 1987,709351
-4,438070 	 1988,919922
-4,673283 	 1988,562134
-4,912709 	 1988,556274
-5,098909 	 1988,751953
-5,315905 	 1987,819092
-5,569454 	 1987,773926
-5,780635 	 1987,635620
-6,021544 	 1987,471069
-6,253553 	 1988,153931
