Field(mT)	GrayLevel	
-6,243169 	 2005,598633
-6,018993 	 2004,715942
-5,781466 	 2003,551636
-5,587433 	 2002,625244
-5,358866 	 2002,243408
-5,131485 	 2001,420288
-4,907665 	 1999,047607
-4,651921 	 1998,599976
-4,444181 	 1998,545654
-4,213003 	 1997,127563
-3,984711 	 1997,002686
-3,790411 	 1995,950073
-3,604170 	 1994,846313
-3,393064 	 1993,791016
-3,188851 	 1992,200439
-2,984478 	 1991,992065
-2,779416 	 1991,445801
-2,603194 	 1990,665771
-2,404812 	 1990,045654
-2,186602 	 1989,802734
-1,983608 	 1988,887451
-1,787824 	 1988,993530
-1,575764 	 1990,638916
-1,393976 	 1991,780762
-1,202485 	 1993,217896
-0,997848 	 1995,164062
-0,783826 	 1996,692871
-0,594563 	 1998,831665
-0,368560 	 2002,241089
-0,172404 	 2005,571899
-0,000265 	 2007,047485
0,196898 	 2013,917358
0,422424 	 2019,026855
0,611581 	 2077,311035
0,799890 	 2078,331299
1,017146 	 2078,988525
1,219345 	 2078,395264
1,420590 	 2077,669922
1,599144 	 2077,113525
1,835697 	 2077,512695
2,023635 	 2077,714600
2,217405 	 2078,023682
2,399882 	 2078,621582
2,594978 	 2078,838623
2,829887 	 2079,292480
3,038607 	 2079,868896
3,217745 	 2080,691406
3,437651 	 2081,115723
3,639373 	 2081,768799
3,824077 	 2083,196289
4,007138 	 2084,108398
4,209642 	 2085,168945
4,395722 	 2085,566895
4,554457 	 2086,564941
4,718471 	 2087,529541
4,931420 	 2086,843750
5,106519 	 2086,618652
5,277818 	 2086,594727
5,462683 	 2086,454102
5,603998 	 2087,456787
5,787333 	 2088,015137
5,604051 	 2088,542236
5,465428 	 2087,686523
5,269425 	 2087,832031
5,105622 	 2087,838379
4,932317 	 2087,223877
4,720477 	 2086,110107
4,550867 	 2084,758301
4,394507 	 2083,967285
4,212704 	 2083,969971
4,034652 	 2083,125732
3,838974 	 2082,686523
3,613554 	 2082,427734
3,423814 	 2081,341064
3,230998 	 2080,657715
3,007010 	 2078,987793
2,817534 	 2078,171387
2,611942 	 2077,551270
2,404972 	 2076,359619
2,204257 	 2075,857666
2,029732 	 2075,537598
1,814809 	 2074,329102
1,617858 	 2075,185791
1,425255 	 2074,782959
1,229842 	 2074,966309
1,029445 	 2074,669434
0,812137 	 2074,197021
0,627433 	 2074,128662
0,397242 	 2074,704102
0,200556 	 2075,151611
0,023380 	 2074,958008
-0,179084 	 2075,845459
-0,374285 	 2075,662354
-0,572137 	 2075,784912
-0,811818 	 1995,639404
-1,003944 	 1993,135742
-1,184725 	 1992,004639
-1,388250 	 1990,464478
-1,589071 	 1989,522217
-1,805955 	 1989,014160
-1,986418 	 1989,369751
-2,183316 	 1988,306396
-2,395587 	 1989,068115
-2,605050 	 1989,223022
-2,812391 	 1989,845703
-2,986917 	 1990,582642
-3,207035 	 1990,981201
-3,406318 	 1991,989258
-3,584607 	 1991,976196
-3,808649 	 1993,000610
-4,015619 	 1994,062012
-4,240536 	 1995,537231
-4,448335 	 1995,835083
-4,676605 	 1997,771240
-4,885057 	 1998,573242
-5,100155 	 1997,957520
-5,349253 	 1998,964966
-5,587967 	 1999,129517
-5,790782 	 2000,091675
-6,004811 	 2001,123047
-6,243288 	 2002,817505
