0deg,15deg,30deg,45deg,60deg,75deg,90deg,105deg,120deg,135deg,150deg,165deg,180deg,270deg
2000.037354,1998.874146,2002.613647,2009.08313,2096.550537,2095.211182,2082.756836,2064.507812,2065.21167,2049.924561,2071.086914,2082.623535,2085.425293,2083.337158
2000.351562,1998.119141,2002.496338,2008.56604,2096.132324,2095.642822,2084.493652,2064.897461,2064.117676,2050.248535,2071.880371,2082.60083,2085.952637,2084.258789
1999.801514,1997.499756,2001.35083,2007.169556,2094.856201,2094.172607,2083.814697,2063.976562,2064.181885,2050.047852,2071.254883,2082.557373,2085.141846,2084.329102
1999.389404,1996.917603,2001.389526,2006.889893,2094.620117,2095.422119,2086.160156,2064.528076,2064.414062,2050.571777,2070.036621,2082.159424,2085.47583,2083.874512
1999.334106,1996.812866,2001.057983,2006.095337,2094.760498,2095.726074,2086.844971,2064.475098,2065.052002,2051.326416,2069.824707,2082.144775,2084.21582,2084.222168
1998.478271,1996.775635,2000.835205,2006.185791,2093.683838,2095.656982,2087.320068,2064.102539,2064.29126,2050.940186,2070.042725,2081.712158,2084.094727,2084.581055
1997.570068,1996.579956,1999.634521,2005.553223,2093.920166,2095.15332,2086.565186,2065.503906,2064.311523,2052.559082,2068.959717,2081.072754,2083.621338,2084.386719
1996.862305,1996.124512,1998.751465,2005.083862,2094.508789,2094.786621,2085.317139,2065.837646,2064.995361,2052.602051,2068.354492,2080.894531,2083.568359,2085.581787
1997.013672,1996.884766,1998.865601,2004.632568,2094.333496,2093.975586,2087.3479,2065.870117,2064.591797,2054.67749,2068.464355,2082.081055,2084.123779,2087.217285
1996.481323,1994.668213,1997.84314,2003.224976,2092.416748,2093.058105,2087.699707,2066.384277,2064.092773,2054.125732,2068.156982,2081.020264,2083.774658,2087.493408
1996.289551,1993.97229,1997.083984,2002.587402,2092.997314,2091.880615,2086.063232,2065.418945,2064.606201,2055.552246,2068.979004,2080.075195,2083.170898,2088.328125
1996.556885,1993.035645,1996.723877,2001.483032,2091.48999,2091.489502,2088.209229,2066.491455,2064.715576,2054.950195,2070.15625,2079.525879,2082.722656,2089.010742
1995.835449,1993.086914,1996.165039,2000.958862,2091.331055,2090.056885,2086.554687,2065.492432,2065.095459,2055.686035,2069.16333,2081.053467,2082.202637,2088.085449
