0deg,15deg,30deg,45deg,60deg,75deg,88deg,90deg,92deg,105deg,120deg,135deg,150deg,165deg,180deg,270deg
2000.0070817281173,1998.4924341262015,2002.3801551865586,2008.6528288187963,2096.1906836011744,2095.1999355273433,2075.904440816191,2083.373155654984,2079.217172020647,2064.5161611688964,2064.9077896351027,2050.048786162054,2071.140268733906,2082.5766521978067,2085.447769813854,2083.615548919206
2000.1098663791772,1998.018876332896,2002.236981444776,2008.2587419242764,2095.8751738850324,2095.414571825847,2075.6409872649874,2084.4032037736933,2079.5220156479368,2064.7010777025243,2064.3414939519207,2050.2605081554075,2071.467703173733,2082.534888042507,2085.664025314968,2084.110101979547
1999.7243273615975,1997.553360402041,2001.51513691658,2007.3322297868463,2095.0629246311382,2094.687495139383,2075.387708901661,2084.340557647374,2080.3535656606964,2064.2343347925234,2064.353834948133,2050.2613097861868,2071.0205485320694,2082.451743465843,2085.161172726921,2084.20128875312
1999.3508694574682,1997.0943437311075,2001.3427964924847,2006.928894171692,2094.7552262084937,2095.3292234049572,2075.526584815737,2085.826021880731,2081.0293668363383,2064.5290208550723,2064.464477092126,2050.678067740111,2070.2279350984113,2082.1620656864948,2085.185984328406,2084.0480900817665
1999.1040013101974,1996.8922118454552,2000.9513410952295,2006.2717054040972,2094.659326668424,2095.4811591063167,2075.24091592357,2086.4342376557242,2081.064197947224,2064.5665045354635,2064.7900017901447,2051.266180411717,2069.914303878457,2082.0428468466444,2084.390462311573,2084.3295044845095
1998.421369961331,1996.7419986522036,2000.5795083200474,2006.0659268480672,2093.991188982961,2095.3890455365236,2075.295241828053,2086.8444019132457,2081.11766794964,2064.49525740393,2064.418217306068,2051.340785099246,2069.8146260815174,2081.7089256612126,2084.1727656183693,2084.6776772526855
1997.7057292943546,1996.505104990391,1999.6884822505708,2005.4878672037626,2094.0003707874157,2094.991614270415,2075.6299470598724,2086.5591218669056,2080.758754643244,2065.3455514029683,2064.4329933424397,2052.467820539168,2069.085495199822,2081.280811745776,2083.8112506892285,2084.830436775543
1997.1141785640827,1996.0940992778646,1998.9394274879005,2004.9554094268694,2094.171182550207,2094.5676902179785,2075.700410624795,2085.99583759316,2080.9509267541034,2065.662476327715,2064.774314592102,2052.8341081455865,2068.6444466026337,2081.0924144489722,2083.6923298772044,2085.7526480992506
1996.992060177103,1996.2191986008183,1998.6844976658417,2004.381505212935,2093.9136203030694,2093.8409614206057,2075.8860580424252,2087.077064065279,2080.6093184110678,2065.797014655971,2064.5680978171354,2054.2080369504088,2068.6373504559315,2081.57826076646,2083.888022754374,2086.932107041646
1996.5603246877736,1994.7852429473166,1997.861213139371,2003.2808707433908,2092.736045540421,2093.00697517212,2076.3904698503793,2087.3247807545627,2080.555317025666,2066.129074698449,2064.3119298981983,2054.2257000301533,2068.503012294029,2080.918042902539,2083.6202065361153,2087.4162456726262
